disease,month,cases,pop,days,inc_day,tmean,tmean1,anom0,anom1,pandemic
Salmonellosis,2018-10-01,183,8582905,31,0.0687788785551234,11.8142857142857,17.0142857142857,0.236263736263737,1.14395604395604,FALSE
Campylobacteriosis,2018-11-01,635,8582905,30,0.246614248516868,6.32857142857143,11.8142857142857,0.161538461538461,0.236263736263737,FALSE
Salmonellosis,2018-11-01,97,8582905,30,0.0376717828443089,6.32857142857143,11.8142857142857,0.161538461538461,0.236263736263737,FALSE
Campylobacteriosis,2018-12-01,581,8582905,31,0.218363543390856,4.1,6.32857142857143,0.895604395604395,0.161538461538461,FALSE
Salmonellosis,2018-12-01,83,8582905,31,0.0311947919129795,4.1,6.32857142857143,0.895604395604395,0.161538461538461,FALSE
Campylobacteriosis,2019-01-01,604,8644780,31,0.225383074731132,1.14285714285714,4.1,-1.09591836734694,0.895604395604395,FALSE
Salmonellosis,2019-01-01,94,8644780,31,0.0350761738819973,1.14285714285714,4.1,-1.09591836734694,0.895604395604395,FALSE
Campylobacteriosis,2019-02-01,333,8644780,28,0.137572698702074,4.04285714285714,1.14285714285714,0.16734693877551,-1.09591836734694,FALSE
Salmonellosis,2019-02-01,69,8644780,28,0.0285060546860153,4.04285714285714,1.14285714285714,0.16734693877551,-1.09591836734694,FALSE
Campylobacteriosis,2019-03-01,379,8644780,31,0.141424147885925,7.64285714285714,4.04285714285714,0.878571428571429,0.16734693877551,FALSE
Salmonellosis,2019-03-01,78,8644780,31,0.0291057613063382,7.64285714285714,4.04285714285714,0.878571428571429,0.16734693877551,FALSE
Campylobacteriosis,2019-04-01,457,8644780,30,0.176214239498672,9.74285714285714,7.64285714285714,-0.811224489795917,0.878571428571429,FALSE
Salmonellosis,2019-04-01,92,8644780,30,0.0354742013870413,9.74285714285714,7.64285714285714,-0.811224489795917,0.878571428571429,FALSE
Campylobacteriosis,2019-05-01,546,8644780,31,0.203740329144367,11.5285714285714,9.74285714285714,-2.43673469387755,-0.811224489795917,FALSE
Salmonellosis,2019-05-01,116,8644780,31,0.0432854911735286,11.5285714285714,9.74285714285714,-2.43673469387755,-0.811224489795917,FALSE
Campylobacteriosis,2019-06-01,625,8644780,30,0.240993215944574,20.0142857142857,11.5285714285714,0.853061224489796,-2.43673469387755,FALSE
Salmonellosis,2019-06-01,108,8644780,30,0.0416436277152224,20.0142857142857,11.5285714285714,0.853061224489796,-2.43673469387755,FALSE
Campylobacteriosis,2019-07-01,831,8644780,31,0.310088303148296,21.5,20.0142857142857,0.642857142857142,0.853061224489796,FALSE
Salmonellosis,2019-07-01,156,8644780,31,0.0582115226126764,21.5,20.0142857142857,0.642857142857142,0.853061224489796,FALSE
Campylobacteriosis,2019-08-01,983,8644780,31,0.366807222617057,19.7,21.5,-0.496938775510206,0.642857142857142,FALSE
Salmonellosis,2019-08-01,258,8644780,31,0.0962729027825033,19.7,21.5,-0.496938775510206,0.642857142857142,FALSE
Campylobacteriosis,2019-09-01,702,8644780,30,0.270683580148945,15.9,19.7,0.0296703296703296,-0.496938775510206,FALSE
Salmonellosis,2019-09-01,165,8644780,30,0.0636222090093675,15.9,19.7,0.0296703296703296,-0.496938775510206,FALSE
Campylobacteriosis,2019-10-01,671,8644780,31,0.250384177391704,12.3857142857143,15.9,0.807692307692308,0.0296703296703296,FALSE
Salmonellosis,2019-10-01,182,8644780,31,0.0679134430481225,12.3857142857143,15.9,0.807692307692308,0.0296703296703296,FALSE
Campylobacteriosis,2019-11-01,579,8644780,30,0.223256115251053,5.92857142857143,12.3857142857143,-0.238461538461539,0.807692307692308,FALSE
Salmonellosis,2019-11-01,138,8644780,30,0.0532113020805619,5.92857142857143,12.3857142857143,-0.238461538461539,0.807692307692308,FALSE
Campylobacteriosis,2019-12-01,543,8644780,31,0.202620876786431,4.4,5.92857142857143,1.1956043956044,-0.238461538461539,FALSE
Salmonellosis,2019-12-01,87,8644780,31,0.0324641183801465,4.4,5.92857142857143,1.1956043956044,-0.238461538461539,FALSE
Campylobacteriosis,2020-01-01,590,8709355,31,0.218526608049805,2.91428571428571,4.4,0.675510204081633,1.1956043956044,FALSE
Salmonellosis,2020-01-01,87,8709355,31,0.0322234150853103,2.91428571428571,4.4,0.675510204081633,1.1956043956044,FALSE
Campylobacteriosis,2020-02-01,274,8709355,29,0.10848422026739,6.57142857142857,2.91428571428571,2.69591836734694,0.675510204081633,FALSE
Salmonellosis,2020-02-01,78,8709355,29,0.0308823692731987,6.57142857142857,2.91428571428571,2.69591836734694,0.675510204081633,FALSE
Campylobacteriosis,2020-03-01,226,8709355,31,0.0837068024055187,6.45714285714286,6.57142857142857,-0.307142857142857,2.69591836734694,TRUE
Salmonellosis,2020-03-01,50,8709355,31,0.0185192040720174,6.45714285714286,6.57142857142857,-0.307142857142857,2.69591836734694,TRUE
Campylobacteriosis,2020-04-01,160,8709355,30,0.0612368347981376,12.6142857142857,6.45714285714286,2.06020408163265,-0.307142857142857,TRUE
Salmonellosis,2020-04-01,46,8709355,30,0.0176055900044645,12.6142857142857,6.45714285714286,2.06020408163265,-0.307142857142857,TRUE
Campylobacteriosis,2020-05-01,335,8709355,31,0.124078667282517,14.4571428571429,12.6142857142857,0.491836734693878,2.06020408163265,TRUE
Salmonellosis,2020-05-01,58,8709355,31,0.0214822767235402,14.4571428571429,12.6142857142857,0.491836734693878,2.06020408163265,TRUE
Campylobacteriosis,2020-06-01,647,8709355,30,0.247626450714969,17.0857142857143,14.4571428571429,-2.07551020408163,0.491836734693878,TRUE
Salmonellosis,2020-06-01,79,8709355,30,0.0302356871815804,17.0857142857143,14.4571428571429,-2.07551020408163,0.491836734693878,TRUE
Campylobacteriosis,2020-07-01,871,8709355,31,0.322604534934543,20.6428571428571,17.0857142857143,-0.214285714285715,-2.07551020408163,TRUE
Salmonellosis,2020-07-01,135,8709355,31,0.050001850994447,20.6428571428571,17.0857142857143,-0.214285714285715,-2.07551020408163,TRUE
Campylobacteriosis,2020-08-01,934,8709355,31,0.345938732065285,20.3,20.6428571428571,0.103061224489796,-0.214285714285715,TRUE
Salmonellosis,2020-08-01,206,8709355,31,0.0762991207767117,20.3,20.6428571428571,0.103061224489796,-0.214285714285715,TRUE
Campylobacteriosis,2020-09-01,704,8709355,30,0.269442073111805,16.5285714285714,20.3,0.658241758241758,0.103061224489796,TRUE
Salmonellosis,2020-09-01,200,8709355,30,0.076546043497672,16.5285714285714,20.3,0.658241758241758,0.103061224489796,TRUE
Campylobacteriosis,2020-10-01,473,8709355,31,0.175191670521285,10.0142857142857,16.5285714285714,-1.56373626373626,0.658241758241758,TRUE
Salmonellosis,2020-10-01,130,8709355,31,0.0481499305872453,10.0142857142857,16.5285714285714,-1.56373626373626,0.658241758241758,TRUE
