parameter_shortname;parameter_description_de;parameter_description_fr;parameter_description_it;parameter_description_en;parameter_group_de;parameter_group_fr;parameter_group_it;parameter_group_en;parameter_granularity;parameter_decimals;parameter_datatype;parameter_unit
phsstay0;"Luftdruck auf Barometerhöhe (QFE); homogenes Jahresmittel";"Pression atmosphérique à l'altitude du baromètre (QFE); moyenne annuelle homogène";"Pressione all'altitudine barometrica (QFE); media annuale omogenea";"Atmospheric pressure at barometric altitude (QFE); homogeneous annual mean";Druck;Pression;Pressione;Pressure;Y;1;Float;hPa
pv9120mv;"Dampfdruck 2 m über Boden; Abweichung des homogenen Monatsmittels von der Norm 9120";"Pression de vapeur à 2 m du sol; déviation de la moyenne mensuelle homogène par rapport à la norme 9120";"Pressione del vapore acqueo a 2 m dal suolo; deviazione della media mensile omogenea dalla norma 9120";"Vapour pressure 2 m above ground; deviation of the homogeneous monthly mean to the norm 9120";Feuchte;Humidité;Umidità;Humidity;M;1;Float;hPa
pv9120yv;"Dampfdruck 2 m über Boden; Abweichung des homogenen Jahresmittels von der Norm 9120";"Pression de vapeur à 2 m du sol; déviation de la moyenne annuelle homogène par rapport à la norme 9120";"Pressione del vapore acqueo a 2 m dal suolo; deviazione della media annuale omogenea dalla norma 9120";"Vapour pressure 2 m above ground; deviation of the homogeneous yearly mean to the norm 9120";Feuchte;Humidité;Umidità;Humidity;Y;1;Float;hPa
pva2hsm0;"Dampfdruck 2 m über Boden; homogenes Monatsmittel";"Pression de vapeur à 2 m du sol; moyenne mensuelle homogène";"Pressione del vapore acqueo a 2 m dal suolo; media mensile omogenea";"Vapour pressure 2 m above ground; homogeneous monthly mean";Feuchte;Humidité;Umidità;Humidity;M;1;Float;hPa
pva2hsy0;"Dampfdruck 2 m über Boden; homogenes Jahresmittel";"Pression de vapeur à 2 m du sol; moyenne annuelle homogène";"Pressione del vapore acqueo a 2 m dal suolo; media annuale omogenea";"Vapour pressure 2 m above ground; homogeneous annual mean";Feuchte;Humidité;Umidità;Humidity;Y;1;Float;hPa
rh9120mv;"Niederschlag; Verhältnis der homogenen Monatssumme zur Norm 9120";"Précipitations; rapport de la somme mensuelle homogène à la norme 9120";"Precipitazioni; somma mensile omogenea rispetto alla norma 9120";"Precipitation; relation of the homogeneous monthly total to the norm 9120";Niederschlag;Précipitations;Precipitazioni;Precipitation;M;0;Integer;%
rh9120yv;"Niederschlag; Verhältnis der homogenen Jahressumme zur Norm 9120";"Précipitations; rapport de la somme annuelle homogène à la norme 9120";"Precipitazioni; somma annuale omogenea rispetto alla norma 9120";"Precipitation; relation of the homogeneous yearly total to the norm 9120";Niederschlag;Précipitations;Precipitazioni;Precipitation;Y;0;Integer;%
rhs001m0;"Anzahl Tage im Monat mit Niederschlag >= 1 mm homogen; Anzahl Tage bei denen der tägliche Gesamtniederschlag >= 1mm war.";Nombre de jours du mois avec précipitations >= 1mm;Numero di giorni al mese con precipitazioni >= 1mm;Number of days in a month when precipitation was >= 1mm;Niederschlag;Précipitations;Precipitazioni;Precipitation;M;0;Integer;No
rhs001y0;"Anzahl Tage im Jahr mit Niederschlag >= 1 mm homogen; Anzahl Tage bei denen der tägliche Gesamtniederschlag >= 1mm war pro Jahr.";Nombre de jours de l'année avec précipitations >= 1mm;Numero di giorni all'anno con precipitazioni >= 1mm;Number of days in a year when precipitation was >= 1mm;Niederschlag;Précipitations;Precipitazioni;Precipitation;Y;0;Integer;No
rhs001yx;"Folge von Niederschlagstagen homogen; Maximale Anzahl aufeinanderfolgender Tage pro Jahr mit Niederschlag >=1mm";Nombre maximum de jours consécutifs par an avec précipitations >= 1 mm;Numero massimo di giorni consecutivi all'anno con precipitazioni >= 1 mm;Maximum number of consecutive days per year with precipitation>=1mm;Niederschlag;Précipitations;Precipitazioni;Precipitation;Y;0;Integer;No
rhs150m0;"Niederschlag; homogene Monatssumme";"Précipitations; somme mensuelle homogène";"Precipitazioni; somma mensile omogenea";"Precipitation; homogeneous monthly total";Niederschlag;Précipitations;Precipitazioni;Precipitation;M;1;Float;mm
rhs150y0;"Niederschlag; homogene Jahressumme";"Précipitations; somme annuelle homogène";"Precipitazioni; somma annuale omogenea";"Precipitation; homogeneous yearly total";Niederschlag;Précipitations;Precipitazioni;Precipitation;Y;1;Float;mm
rhsdryyx;Längste Folge von Trockentagen (Tagesniederschlagssumme < 1 mm) des Jahres, homogen;La plus longue séquence de jours secs (somme journalière de précipitations < 1 mm) de l'année, homogène;La più lunga serie di giorni secchi (somma giornaliera di precipitazioni < 1 mm) dell'anno, omogeneo;Longest sequence of dry days (daily total precipitation < 1 mm) of the year, homogeneous;Niederschlag;Précipitations;Precipitazioni;Precipitation;Y;0;Integer;No
